Registration year,IMD Decile,age,sex,deaths,population
2001,1,0,female,306,35977
2001,1,1,female,30,36023
2001,1,2,female,14,36202
2001,1,3,female,10,36700
2001,1,4,female,10,37794
2001,1,5,female,3,36918
2001,1,6,female,11,36384
2001,1,7,female,6,37030
2001,1,8,female,5,37461
2001,1,9,female,6,38228
2001,1,10,female,1,38606
2001,1,11,female,4,37699
2001,1,12,female,6,36892
2001,1,13,female,3,37187
2001,1,14,female,8,37179
2001,1,15,female,10,36175
2001,1,16,female,11,36151
2001,1,17,female,15,34591
2001,1,18,female,16,35181
2001,1,19,female,13,38277
2001,1,20,female,17,41270
2001,1,21,female,15,41484
2001,1,22,female,6,38954
2001,1,23,female,17,36484
2001,1,24,female,13,36147
2001,1,25,female,18,36976
2001,1,26,female,20,37294
2001,1,27,female,24,37662
2001,1,28,female,22,39283
2001,1,29,female,28,41276
2001,1,30,female,24,41345
2001,1,31,female,27,40840
2001,1,32,female,43,41085
2001,1,33,female,30,40456
2001,1,34,female,47,40423
2001,1,35,female,54,39090
2001,1,36,female,38,38788
2001,1,37,female,43,37365
2001,1,38,female,47,36813
2001,1,39,female,52,35806
2001,1,40,female,55,34450
2001,1,41,female,56,32873
2001,1,42,female,57,31078
2001,1,43,female,77,30899
2001,1,44,female,81,30029
2001,1,45,female,102,28008
2001,1,46,female,80,26723
2001,1,47,female,93,26392
2001,1,48,female,102,26126
2001,1,49,female,110,25311
2001,1,50,female,144,24877
2001,1,51,female,132,24948
2001,1,52,female,120,25286
2001,1,53,female,136,26300
2001,1,54,female,190,27049
2001,1,55,female,162,22428
2001,1,56,female,147,21639
2001,1,57,female,191,21416
2001,1,58,female,197,21733
2001,1,59,female,197,20207
2001,1,60,female,192,20434
2001,1,61,female,238,21133
2001,1,62,female,287,21670
2001,1,63,female,282,21270
2001,1,64,female,316,21291
2001,1,65,female,338,20829
2001,1,66,female,344,20229
2001,1,67,female,424,19584
2001,1,68,female,440,19723
2001,1,69,female,500,19724
2001,1,70,female,499,20137
2001,1,71,female,570,20064
2001,1,72,female,632,19279
2001,1,73,female,655,18551
2001,1,74,female,767,18868
2001,1,75,female,772,18493
2001,1,76,female,848,17813
2001,1,77,female,876,17285
2001,1,78,female,889,16713
2001,1,79,female,961,17226
2001,1,80,female,1136,16921
2001,1,81,female,1155,16416
2001,1,82,female,876,11500
2001,1,83,female,832,9233
2001,1,84,female,844,9008
2001,1,85,female,872,8579
2001,1,86,female,987,8585
2001,1,87,female,984,7800
2001,1,88,female,934,6659
2001,1,89,female,847,5515
2001,1,90+,female,4283,19795
2001,2,0,female,235,32042
2001,2,1,female,14,32830
2001,2,2,female,6,33114
2001,2,3,female,8,33333
2001,2,4,female,6,34492
2001,2,5,female,3,33431
2001,2,6,female,4,32853
2001,2,7,female,4,33868
2001,2,8,female,5,34494
2001,2,9,female,6,35144
2001,2,10,female,3,35006
2001,2,11,female,9,34456
2001,2,12,female,3,33988
2001,2,13,female,2,34431
2001,2,14,female,7,33835
2001,2,15,female,5,33206
2001,2,16,female,12,33350
2001,2,17,female,5,31417
2001,2,18,female,6,31828
2001,2,19,female,10,36178
2001,2,20,female,9,40234
2001,2,21,female,10,41040
2001,2,22,female,11,38702
2001,2,23,female,10,36752
2001,2,24,female,14,36597
2001,2,25,female,18,37841
2001,2,26,female,20,38856
2001,2,27,female,21,39430
2001,2,28,female,16,41151
2001,2,29,female,21,42847
2001,2,30,female,28,43320
2001,2,31,female,33,42170
2001,2,32,female,21,42304
2001,2,33,female,37,42059
2001,2,34,female,31,42131
2001,2,35,female,47,40826
2001,2,36,female,37,40625
2001,2,37,female,44,39157
2001,2,38,female,31,38149
2001,2,39,female,53,37023
2001,2,40,female,35,35437
2001,2,41,female,49,33675
2001,2,42,female,45,32529
2001,2,43,female,53,31815
2001,2,44,female,57,30766
2001,2,45,female,57,29117
2001,2,46,female,62,27934
2001,2,47,female,85,27527
2001,2,48,female,89,26591
2001,2,49,female,86,26088
2001,2,50,female,93,25967
2001,2,51,female,109,26435
2001,2,52,female,116,27021
2001,2,53,female,131,27880
2001,2,54,female,147,29191
2001,2,55,female,159,24207
2001,2,56,female,129,23521
2001,2,57,female,157,23024
2001,2,58,female,151,22603
2001,2,59,female,138,21423
2001,2,60,female,190,20617
2001,2,61,female,216,21753
2001,2,62,female,214,21915
2001,2,63,female,261,21936
2001,2,64,female,249,21127
2001,2,65,female,290,20830
2001,2,66,female,313,20414
2001,2,67,female,343,19686
2001,2,68,female,381,19849
2001,2,69,female,428,20342
2001,2,70,female,465,20880
2001,2,71,female,546,20202
2001,2,72,female,536,19914
2001,2,73,female,657,19252
2001,2,74,female,664,19425
2001,2,75,female,757,19265
2001,2,76,female,739,18566
